,Index (),ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED (),N_RAD,DIV,GANG,BESCHLEUNIGUNG,LEISTUNG,DREHMOMENT
0,0,0,0.0,0.0,16.862745,0.0,88,-4.6875,0.0,101,28.627451,48.627453,16.078432,31.764706,16.862745,0,100,0.0,51,5,439.100006,298.100006,12.539,0.0,0,7937,0,255,0.0,,1.0,0.0,0.0,0.0
1,0,0,0.0,0.0,16.862745,0.0,88,-4.6875,0.0,101,28.627451,48.627453,16.078432,31.764706,16.862745,0,100,0.0,51,5,439.100006,298.100006,12.539,0.0,0,7937,0,255,0.0,,1.0,0.0,0.0,0.0
2,0,0,0.0,0.0,16.862745,0.0,88,-4.6875,0.0,101,28.627451,48.627453,16.078432,31.764706,16.862745,0,100,0.0,51,5,439.100006,298.100006,12.539,0.0,0,7937,0,255,0.0,,1.0,0.0,0.0,0.0
3,0,0,0.0,0.0,16.862745,0.0,88,-4.6875,0.0,101,28.627451,48.627453,16.078432,31.764706,16.862745,0,100,0.0,51,5,439.100006,298.100006,12.539,0.0,0,7937,0,255,0.0,,1.0,0.0,0.0,0.0
4,0,0,0.0,0.0,16.862745,0.0,88,-4.6875,0.0,101,28.627451,48.627453,16.078432,31.764706,16.862745,0,100,0.0,51,5,439.100006,298.100006,10.371,0.0,0,7937,0,255,0.0,,1.0,0.0,0.0,0.0
5,0,0,0.0,0.0,16.862745,20.392157,88,-1.5625,0.0,101,28.627451,48.627453,16.078432,31.764706,16.862745,0,100,0.0,51,5,439.100006,298.100006,10.371,0.0,0,7937,0,255,0.0,,1.0,0.0,0.0,0.0
6,0,0,25.454166666666666,0.0,16.862745,20.392157,88,-1.5625,0.0,18,28.627451,48.627453,16.078432,31.764706,16.862745,0,100,0.0,50,8,439.100006,298.100006,10.371,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
7,0,0,25.454166666666666,0.0,16.862745,20.392157,88,-1.5625,0.0,18,28.627451,48.627453,16.078432,31.764706,16.862745,0,100,0.0,50,8,439.100006,298.100006,11.933,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
8,0,0,25.454166666666666,0.0,16.862745,20.392157,88,-1.5625,0.0,18,28.627451,51.372547,16.078432,31.764706,18.82353,0,100,0.0,50,8,439.100006,298.100006,11.933,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
9,0,0,18.045833333333334,0.0,18.82353,30.588236,89,0.0,-3.90625,31,28.627451,51.372547,16.078432,31.764706,18.82353,0,100,0.0,51,4,439.100006,298.100006,11.933,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
10,0,2,18.045833333333334,0.0,18.82353,30.588236,89,0.0,-3.90625,31,28.627451,51.372547,16.078432,31.764706,18.82353,0,100,0.0,51,4,439.100006,298.100006,11.933,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
11,0,2,18.045833333333334,0.0,18.82353,30.588236,89,0.0,-3.90625,31,28.627451,50.980392,16.078432,31.764706,18.82353,0,100,0.0,51,4,70.5,70.0,12.187,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
12,0,2,18.045833333333334,0.0,18.82353,30.588236,89,0.0,-3.90625,31,28.627451,50.980392,16.078432,31.764706,18.82353,0,100,0.0,51,4,70.5,70.0,12.187,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
13,0,2,15.429166666666667,0.0,18.82353,32.941177,89,-0.78125,-7.03125,33,28.627451,50.980392,16.078432,31.764706,18.82353,0,100,0.0,51,7,70.5,70.0,12.187,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
14,0,4,15.429166666666667,0.0,18.82353,32.941177,89,-0.78125,-7.03125,33,28.627451,50.980392,16.078432,31.764706,18.82353,0,100,0.0,51,7,70.5,70.0,12.187,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
15,0,4,15.429166666666667,0.0,18.82353,32.941177,89,-0.78125,-7.03125,33,28.627451,50.588234,16.078432,31.764706,18.431372,0,100,0.0,51,7,73.699997,71.199997,13.671,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
16,0,4,15.429166666666667,0.0,18.82353,35.686275,88,-1.5625,-3.90625,33,28.627451,50.588234,16.078432,31.764706,18.431372,0,100,0.0,51,7,73.699997,71.199997,13.671,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
17,0,6,14.375,0.0,18.431372,35.686275,88,-1.5625,-3.90625,35,28.627451,50.588234,16.078432,31.764706,18.431372,0,100,0.0,51,5,73.699997,71.199997,13.671,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
18,0,6,14.375,0.0,18.431372,35.686275,88,-1.5625,-3.90625,35,28.627451,50.588234,16.078432,31.764706,18.431372,0,100,0.0,51,5,78.199997,73.099998,13.671,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
19,0,6,14.375,0.0,18.431372,35.686275,88,-1.5625,-3.90625,35,28.627451,50.196079,16.078432,31.764706,18.431372,0,100,0.0,51,5,78.199997,73.099998,13.671,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
20,0,6,13.8125,0.0,18.431372,36.470589,88,-1.5625,0.0,36,28.627451,50.196079,16.078432,31.764706,18.431372,0,100,0.0,52,4,78.199997,73.099998,13.671,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
21,0,8,13.8125,0.0,18.431372,36.470589,88,-1.5625,0.0,36,28.627451,50.196079,16.078432,31.764706,18.431372,0,100,0.0,52,4,78.199997,73.099998,13.671,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
22,0,8,13.8125,0.0,18.431372,36.470589,88,-1.5625,0.0,36,28.627451,50.588234,16.078432,31.764706,18.431372,0,100,0.0,52,4,83.400002,75.300003,13.613,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
23,0,8,13.8125,0.0,18.431372,36.470589,88,-1.5625,0.0,36,28.627451,50.588234,16.078432,31.764706,18.431372,0,100,0.0,52,4,83.400002,75.300003,13.613,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
24,0,8,13.541666666666666,0.0,18.431372,37.64706,88,-1.5625,-3.90625,38,28.627451,50.588234,16.078432,31.764706,18.431372,0,100,0.0,52,2,83.400002,75.300003,13.613,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
25,0,10,13.541666666666666,0.0,18.431372,37.64706,88,-1.5625,-3.90625,38,28.627451,50.588234,16.078432,31.764706,18.431372,0,100,0.0,52,2,83.400002,75.300003,13.613,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
26,0,10,13.541666666666666,0.0,18.431372,37.64706,88,-1.5625,-3.90625,38,28.627451,50.980392,16.078432,31.764706,18.82353,0,100,0.0,52,2,86.199997,76.599998,13.632,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
27,0,10,13.541666666666666,0.0,18.431372,39.607841,89,-2.34375,-1.5625,38,28.627451,50.980392,16.078432,31.764706,18.82353,0,100,0.0,52,2,86.199997,76.599998,13.632,0.0,0,7937,0,255,0.0,0.0,1.0,0.0,0.0,0.0
