Index (),ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.382,0,0,7495,0,255
0,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.382,0,0,7495,0,255
0,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.382,0,0,7495,0,255
0,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.382,0,0,7495,0,255
0,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.382,0,0,7495,0,255
0,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.285,0,0,7495,0,255
0,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.285,0,0,7495,0,255
0,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.285,0,0,7495,0,255
0,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.285,0,0,7495,0,255
0,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.363,0,0,7495,0,255
0,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.363,0,0,7495,0,255
0,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,100,0,26,5,39.099998,26.5,12.363,0,0,7495,0,255
0,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,49.803921,16.078432,31.764706,13.333333,0,101,0,26,5,39.099998,26.5,10.605,0,0,7495,0,255
0,0,0,0,17.647058,0,28,-3.125,0,101,35.294117,50.196079,16.078432,31.764706,20,0,101,0,26,5,39.099998,26.5,10.605,0,0,7495,0,255
0,0,1793.75,0,20,25.09804,28,3.90625,0,24,35.294117,50.196079,16.078432,31.764706,20,0,101,0,25,24,39.099998,26.5,10.605,0,0,7495,0,255
0,1,1793.75,0,20,25.09804,28,3.90625,0,24,35.294117,50.196079,16.078432,31.764706,20,0,101,0,25,24,39.099998,26.5,10.605,0,0,7495,0,255
0,1,1793.75,0,20,25.09804,28,3.90625,0,24,35.294117,52.156864,16.078432,31.764706,20,0,101,0.784314,25,24,39.099998,26.5,12.011,0,0,7495,0,255
0,1,1793.75,0,20,25.09804,28,3.90625,0,24,35.294117,52.156864,16.078432,31.764706,20,0,101,0.784314,25,24,39.099998,26.5,12.011,0,0,7495,0,255
0,3,1802.25,0,20,23.137255,29,3.90625,0,23,35.294117,52.156864,16.078432,31.764706,20,0,101,0.784314,25,23,39.099998,26.5,12.011,0,0,7495,0,255
0,3,1802.25,0,20,23.137255,29,3.90625,0,23,35.294117,52.156864,16.078432,31.764706,20,0,101,0.784314,25,23,39.099998,26.5,12.011,0,0,7495,0,255
0,3,1802.25,0,20,23.137255,29,3.90625,0,23,35.294117,52.156864,16.078432,31.764706,19.607843,0,101,0.784314,25,23,28.099998,27.099998,14.101,0,0,7495,0,255
0,3,1802.25,0,20,23.921568,29,3.90625,0,23,35.294117,52.156864,16.078432,31.764706,19.607843,0,101,0.784314,25,23,28.099998,27.099998,14.101,0,0,7495,0,255
0,4,1700.75,0,19.607843,23.921568,29,3.90625,0,23,35.294117,52.156864,16.078432,31.764706,19.607843,0,101,0.784314,26,21,28.099998,27.099998,14.101,0,0,7495,0,255
0,4,1700.75,0,19.607843,23.921568,29,3.90625,0,23,35.294117,52.156864,16.078432,31.764706,19.607843,0,101,0.784314,26,21,32.5,27.099998,14.316,0,0,7495,0,255
0,4,1700.75,0,19.607843,23.921568,29,3.90625,0,23,35.294117,51.764706,16.078432,31.764706,19.607843,0,101,0.392157,26,21,32.5,27.099998,14.316,0,0,7495,0,255
0,4,1583.5,0,19.215687,23.137255,29,3.90625,0,23,35.294117,51.764706,16.078432,31.764706,19.607843,0,101,0.392157,26,19,32.5,27.099998,14.316,0,0,7495,0,255
0,6,1583.5,0,19.215687,23.137255,29,3.90625,0,23,35.294117,51.764706,16.078432,31.764706,19.607843,0,101,0.392157,26,19,32.5,27.099998,14.316,0,0,7495,0,255
0,6,1583.5,0,19.215687,23.137255,29,3.90625,0,23,35.294117,51.764706,16.078432,31.764706,19.215687,0,101,0.392157,26,19,38.800003,27.099998,14.335,0,0,7495,0,255
0,6,1583.5,0,19.215687,23.137255,29,3.90625,0,23,35.294117,51.764706,16.078432,31.764706,19.215687,0,101,0.392157,26,19,38.800003,27.099998,14.335,0,0,7495,0,255
0,6,1489,0,19.215687,23.921568,30,3.90625,0,25,35.294117,51.764706,16.078432,31.764706,19.215687,0,101,0.392157,26,14,38.800003,27.099998,14.335,0,0,7495,0,255
0,8,1489,0,19.215687,23.921568,30,3.90625,0,25,35.294117,51.764706,16.078432,31.764706,19.215687,0,101,0.392157,26,14,38.800003,27.099998,14.335,0,0,7495,0,255
0,8,1489,0,19.215687,23.921568,30,3.90625,0,25,35.294117,51.372547,16.078432,31.764706,19.215687,0,101,0,26,14,42.400002,27.099998,14.335,0,0,7495,0,255
0,8,1489,0,19.215687,25.09804,30,3.90625,0,25,35.294117,51.372547,16.078432,31.764706,19.215687,0,101,0,26,14,42.400002,27.099998,14.335,0,0,7495,0,255
0,10,1409.25,0,19.215687,25.09804,30,3.90625,0,25,35.294117,51.372547,16.078432,31.764706,19.215687,0,101,0,26,9,42.400002,27.099998,14.335,0,0,7495,0,255
0,10,1409.25,0,19.215687,25.09804,30,3.90625,0,25,35.294117,51.372547,16.078432,31.764706,19.215687,0,101,0,26,9,50.199997,27.099998,12.812,0,0,7495,0,255
0,10,1409.25,0,19.215687,25.09804,30,3.90625,0,25,35.294117,53.725491,16.078432,31.764706,20.784313,0,101,1.960784,26,9,50.199997,27.099998,12.812,0,0,7495,0,255
0,10,1429.5,0,20.784313,36.470589,30,3.125,0,36,35.294117,53.725491,16.078432,31.764706,20.784313,0,101,1.960784,26,5,50.199997,27.099998,12.812,0,0,7495,0,255
0,12,1429.5,0,20.784313,36.470589,30,3.125,0,36,35.294117,53.725491,16.078432,31.764706,20.784313,0,101,1.960784,26,5,50.199997,27.099998,12.812,0,0,7495,0,255
0,12,1429.5,0,20.784313,36.470589,30,3.125,0,36,35.294117,53.725491,16.078432,31.764706,20.784313,0,101,1.960784,26,5,60.5,27.300003,14.257,0,0,7495,0,255
0,12,1429.5,0,20.784313,36.470589,30,3.125,0,36,35.294117,53.725491,16.078432,31.764706,21.17647,0,101,1.960784,26,5,60.5,27.300003,14.257,0,0,7495,0,255
0,12,1452.25,0,21.17647,36.862743,31,3.125,0,37,35.294117,53.725491,16.078432,31.764706,21.17647,0,101,1.960784,26,1,60.5,27.300003,14.257,0,0,7495,0,255
0,13,1452.25,0,21.17647,36.862743,31,3.125,0,37,35.294117,53.725491,16.078432,31.764706,21.17647,0,101,1.960784,26,1,60.5,27.300003,14.257,0,0,7495,0,255
0,13,1452.25,0,21.17647,36.862743,31,3.125,0,37,35.294117,53.725491,16.078432,31.764706,20.784313,0,101,1.960784,26,1,73,27.5,14.257,0,0,7495,0,255
0,13,1452.25,0,21.17647,35.686275,31,3.125,0,37,35.294117,53.725491,16.078432,31.764706,20.784313,0,101,1.960784,26,1,73,27.5,14.257,0,0,7495,0,255
0,15,1456.25,0,20.784313,35.686275,31,3.125,0,35,35.294117,53.725491,16.078432,31.764706,20.784313,0,101,1.960784,27,3,73,27.5,14.257,0,0,7495,0,255
0,15,1456.25,0,20.784313,35.686275,31,3.125,0,35,35.294117,53.725491,16.078432,31.764706,20.784313,0,101,1.960784,27,3,79.699997,27.699997,14.257,0,0,7495,0,255
0,15,1456.25,0,20.784313,35.686275,31,3.125,0,35,35.294117,53.333332,16.078432,31.764706,20.784313,0,101,1.568627,27,3,79.699997,27.699997,14.257,0,0,7495,0,255
0,15,1432.75,0,20.784313,35.686275,32,3.125,0,36,35.294117,53.333332,16.078432,31.764706,20.784313,0,101,1.568627,27,5,79.699997,27.699997,14.257,0,0,7495,0,255
0,17,1432.75,0,20.784313,35.686275,32,3.125,0,36,35.294117,53.333332,16.078432,31.764706,20.784313,0,101,1.568627,27,5,79.699997,27.699997,14.257,0,0,7495,0,255
0,17,1432.75,0,20.784313,35.686275,32,3.125,0,36,35.294117,53.333332,16.078432,31.764706,20.784313,0,101,1.568627,27,5,93.800003,27.900002,14.257,0,0,7495,0,255
0,17,1432.75,0,20.784313,35.686275,32,3.125,0,36,35.294117,53.333332,16.078432,31.764706,20.784313,0,101,1.568627,27,5,93.800003,27.900002,14.257,0,0,7495,0,255
0,17,1405.25,0,20.784313,35.294117,33,3.125,0,35,35.294117,53.333332,16.078432,31.764706,20.784313,0,101,1.568627,27,5,93.800003,27.900002,14.257,0,0,7495,0,255
0,19,1405.25,0,20.784313,35.294117,33,3.125,0,35,35.294117,53.333332,16.078432,31.764706,20.784313,0,101,1.568627,27,5,93.800003,27.900002,14.257,0,0,7495,0,255
0,19,1405.25,0,20.784313,35.294117,33,3.125,0,35,35.294117,52.941177,16.078432,31.764706,20.392157,0,101,1.568627,27,5,108.199997,28.300003,14.257,0,0,7495,0,255
0,19,1405.25,0,20.784313,34.509804,34,3.125,0,35,35.294117,52.941177,16.078432,31.764706,20.392157,0,101,1.568627,27,5,108.199997,28.300003,14.257,0,0,7495,0,255
0,21,1358.5,0,20.392157,34.509804,34,3.90625,0,34,35.294117,52.941177,16.078432,31.764706,20.392157,0,101,1.568627,27,6,108.199997,28.300003,14.257,0,0,7495,0,255
0,21,1358.5,0,20.392157,34.509804,34,3.90625,0,34,35.294117,52.941177,16.078432,31.764706,20.392157,0,101,1.568627,27,6,122.300003,28.900002,14.257,0,0,7495,0,255
0,21,1358.5,0,20.392157,34.509804,34,3.90625,0,34,35.294117,52.549019,16.078432,31.764706,20.392157,0,101,1.176471,27,6,122.300003,28.900002,14.257,0,0,7495,0,255
0,21,1285.75,0,20.392157,34.117645,35,3.90625,0,34,35.294117,52.549019,16.078432,31.764706,20.392157,0,101,1.176471,27,7,122.300003,28.900002,14.257,0,0,7495,0,255
0,23,1285.75,0,20,34.117645,35,3.90625,0,34,35.294117,52.549019,16.078432,31.764706,20.392157,0,101,1.176471,27,7,122.300003,28.900002,14.257,0,0,7495,0,255
0,23,1285.75,0,20,34.117645,35,3.90625,0,34,35.294117,52.549019,16.078432,31.764706,20.392157,0,101,0.784314,27,7,129.100006,29.5,14.257,0,0,7495,0,255
0,23,1285.75,0,20,34.117645,35,3.90625,0,34,35.294117,52.549019,16.078432,31.764706,20,0,101,0.784314,27,7,129.100006,29.5,14.257,0,0,7495,0,255
0,23,1217,0,20,34.901962,35,3.90625,0,36,35.294117,52.549019,16.078432,31.764706,20,0,101,0.784314,27,7,129.100006,29.5,14.257,0,0,7495,0,255
